Date,Adj Close,Volume,NIFTY Open,Stock Open price
5/10/2016,171.350571,704540,7873.549805,170.5
5/11/2016,176.435287,1892442,7804.649902,177.75
5/12/2016,174.756836,1078782,7871.450195,176.75
5/13/2016,171.745483,903714,7881,173.850006
5/16/2016,171.646759,591273,7831.200195,174.5
5/17/2016,176.632736,1979368,7896.850098,177.949997
5/18/2016,174.756836,758470,7846.75,176.75
5/19/2016,170.412598,633140,7875.5,173
5/20/2016,169.425262,533686,7792.200195,173
5/23/2016,164.932922,582561,7813.950195,167.949997
5/24/2016,169.079712,805185,7738.049805,173.050003
5/25/2016,171.498642,2727928,7811.799805,174
5/26/2016,171.251816,788164,7974.450195,174.050003
5/27/2016,170.906265,627079,8081.950195,173.800003
5/30/2016,171.548019,342610,8166.5,174.449997
5/31/2016,172.485977,694533,8209.849609,176
6/1/2016,172.634094,1170590,8179.200195,174.949997
6/2/2016,171.597382,482458,8156.899902,174.699997
6/3/2016,168.684784,473454,8246.200195,169.199997
6/6/2016,170.758163,555928,8228.75,173.699997
6/7/2016,169.672104,373098,8235.549805,172.699997
6/8/2016,169.721451,695656,8285.5,172.25
6/9/2016,169.672104,330039,8273.349609,173.100006
6/10/2016,174.954285,2086414,8180.25,175.149994
6/13/2016,179.44664,1761206,8102.25,183
6/14/2016,178.409943,1472415,8134.399902,181.949997
6/15/2016,179.644104,1244985,8139.399902,181.5
6/16/2016,176.435287,814850,8180.649902,179.399994
6/17/2016,174.164413,647030,8176.649902,177.399994
6/20/2016,180.976974,1323659,8115.75,184.699997
6/21/2016,179.841553,815997,8255.400391,185
6/22/2016,205.018387,21562785,8213.650391,208.050003
6/23/2016,201.760223,7565731,8201.150391,192
6/24/2016,206.894318,7160036,8029.100098,210
6/27/2016,215.533432,6863695,8039.350098,219.399994
6/28/2016,216.372635,3687899,8096.049805,220.399994
6/29/2016,219.482742,2289761,8173.100098,223.899994
6/30/2016,217.113144,1875433,8260.25,221.899994
7/1/2016,220.321945,4258938,8313.049805,225
7/4/2016,219.235901,1834883,8376.75,222.100006
7/5/2016,219.976379,1673335,8379.299805,223.600006
7/7/2016,215.730881,1223650,8342,219.100006
7/8/2016,216.816971,1191471,8350,222.199997
7/11/2016,216.965042,1043945,8413.349609,220.850006
7/12/2016,223.4814,1729354,8502.599609,229.699997
